seqnames	start	end	strand	transcript_id	type	gene_id
chr1	683	916	+	ONT1.153.570	UTR	NA
chr1	917	955	+	ONT1.153.570	CDS	TP73
chr1	955	1056	+	ONT1.153.570	intron	TP73
chr1	1056	1298	+	ONT1.153.570	CDS	TP73
chr1	1298	1399	+	ONT1.153.570	intron	TP73
chr1	1399	1585	+	ONT1.153.570	CDS	TP73
chr1	1585	1686	+	ONT1.153.570	intron	TP73
chr1	1686	1801	+	ONT1.153.570	CDS	TP73
chr1	1801	1902	+	ONT1.153.570	intron	TP73
chr1	1902	2011	+	ONT1.153.570	CDS	TP73
chr1	2011	2237	+	ONT1.153.570	intron	TP73
chr1	2237	2379	+	ONT1.153.570	CDS	TP73
chr1	2379	2480	+	ONT1.153.570	intron	TP73
chr1	2480	2568	+	ONT1.153.570	CDS	TP73
chr1	2568	2669	+	ONT1.153.570	intron	TP73
chr1	2669	2790	+	ONT1.153.570	CDS	TP73
chr1	2790	3140	+	ONT1.153.570	intron	TP73
chr1	3140	3278	+	ONT1.153.570	CDS	TP73
chr1	3278	3573	+	ONT1.153.570	intron	TP73
chr1	3573	3905	+	ONT1.153.570	CDS	TP73
chr1	3906	7027	+	ONT1.153.570	UTR	NA
chr1	715	916	+	ONT1.153.571	UTR	NA
chr1	917	955	+	ONT1.153.571	CDS	TP73
chr1	955	1056	+	ONT1.153.571	intron	TP73
chr1	1056	1298	+	ONT1.153.571	CDS	TP73
chr1	1298	1399	+	ONT1.153.571	intron	TP73
chr1	1399	1585	+	ONT1.153.571	CDS	TP73
chr1	1585	1686	+	ONT1.153.571	intron	TP73
chr1	1686	1801	+	ONT1.153.571	CDS	TP73
chr1	1801	1902	+	ONT1.153.571	intron	TP73
chr1	1902	2011	+	ONT1.153.571	CDS	TP73
chr1	2011	2237	+	ONT1.153.571	intron	TP73
chr1	2237	2379	+	ONT1.153.571	CDS	TP73
chr1	2379	2480	+	ONT1.153.571	intron	TP73
chr1	2480	2568	+	ONT1.153.571	CDS	TP73
chr1	2568	2669	+	ONT1.153.571	intron	TP73
chr1	2669	2790	+	ONT1.153.571	CDS	TP73
chr1	2790	2891	+	ONT1.153.571	intron	TP73
chr1	2891	3039	+	ONT1.153.571	CDS	TP73
chr1	3039	3140	+	ONT1.153.571	intron	TP73
chr1	3140	3278	+	ONT1.153.571	CDS	TP73
chr1	3278	3379	+	ONT1.153.571	intron	TP73
chr1	3379	3472	+	ONT1.153.571	CDS	TP73
chr1	3472	3573	+	ONT1.153.571	intron	TP73
chr1	3573	3905	+	ONT1.153.571	CDS	TP73
chr1	3906	7027	+	ONT1.153.571	UTR	NA
chr1	700	916	+	ONT1.153.573	UTR	NA
chr1	917	955	+	ONT1.153.573	CDS	TP73
chr1	955	1056	+	ONT1.153.573	intron	TP73
chr1	1056	1298	+	ONT1.153.573	CDS	TP73
chr1	1298	1399	+	ONT1.153.573	intron	TP73
chr1	1399	1585	+	ONT1.153.573	CDS	TP73
chr1	1585	1686	+	ONT1.153.573	intron	TP73
chr1	1686	1801	+	ONT1.153.573	CDS	TP73
chr1	1801	1902	+	ONT1.153.573	intron	TP73
chr1	1902	2011	+	ONT1.153.573	CDS	TP73
chr1	2011	2237	+	ONT1.153.573	intron	TP73
chr1	2237	2379	+	ONT1.153.573	CDS	TP73
chr1	2379	2480	+	ONT1.153.573	intron	TP73
chr1	2480	2568	+	ONT1.153.573	CDS	TP73
chr1	2568	2669	+	ONT1.153.573	intron	TP73
chr1	2669	2790	+	ONT1.153.573	CDS	TP73
chr1	2790	2891	+	ONT1.153.573	intron	TP73
chr1	2891	3039	+	ONT1.153.573	CDS	TP73
chr1	3039	3140	+	ONT1.153.573	intron	TP73
chr1	3140	3278	+	ONT1.153.573	CDS	TP73
chr1	3278	3379	+	ONT1.153.573	intron	TP73
chr1	3379	3472	+	ONT1.153.573	CDS	TP73
chr1	3472	3573	+	ONT1.153.573	intron	TP73
chr1	3573	3905	+	ONT1.153.573	CDS	TP73
chr1	3906	4731	+	ONT1.153.573	UTR	NA
chr1	756	916	+	ONT1.153.581	UTR	NA
chr1	917	955	+	ONT1.153.581	CDS	TP73
chr1	955	1056	+	ONT1.153.581	intron	TP73
chr1	1056	1298	+	ONT1.153.581	CDS	TP73
chr1	1298	1399	+	ONT1.153.581	intron	TP73
chr1	1399	1585	+	ONT1.153.581	CDS	TP73
chr1	1585	1686	+	ONT1.153.581	intron	TP73
chr1	1686	1801	+	ONT1.153.581	CDS	TP73
chr1	1801	1902	+	ONT1.153.581	intron	TP73
chr1	1902	2011	+	ONT1.153.581	CDS	TP73
chr1	2011	2237	+	ONT1.153.581	intron	TP73
chr1	2237	2379	+	ONT1.153.581	CDS	TP73
chr1	2379	2480	+	ONT1.153.581	intron	TP73
chr1	2480	2568	+	ONT1.153.581	CDS	TP73
chr1	2568	2669	+	ONT1.153.581	intron	TP73
chr1	2669	2790	+	ONT1.153.581	CDS	TP73
chr1	2790	2891	+	ONT1.153.581	intron	TP73
chr1	2891	3039	+	ONT1.153.581	CDS	TP73
chr1	3039	3140	+	ONT1.153.581	intron	TP73
chr1	3140	3278	+	ONT1.153.581	CDS	TP73
chr1	3278	3379	+	ONT1.153.581	intron	TP73
chr1	3379	3472	+	ONT1.153.581	CDS	TP73
chr1	3472	3573	+	ONT1.153.581	intron	TP73
chr1	3573	3905	+	ONT1.153.581	CDS	TP73
chr1	3906	7027	+	ONT1.153.581	UTR	NA
chr1	2112	2379	+	ONT1.153.595	UTR	NA
chr1	2379	2480	+	ONT1.153.595	intron	NA
chr1	2480	2568	+	ONT1.153.595	UTR	NA
chr1	2568	2669	+	ONT1.153.595	intron	NA
chr1	2669	2698	+	ONT1.153.595	UTR	NA
chr1	2699	2790	+	ONT1.153.595	CDS	TP73
chr1	2790	2891	+	ONT1.153.595	intron	TP73
chr1	2891	3039	+	ONT1.153.595	CDS	TP73
chr1	3039	3140	+	ONT1.153.595	intron	TP73
chr1	3140	3278	+	ONT1.153.595	CDS	TP73
chr1	3278	3573	+	ONT1.153.595	intron	TP73
chr1	3573	3588	+	ONT1.153.595	CDS	TP73
chr1	3589	4731	+	ONT1.153.595	UTR	NA
chr1	2	127	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	127	228	+	ENST00000378295.9	intron	NA
chr1	228	325	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	325	426	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	426	546	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	546	1056	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	1056	1298	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	1298	1399	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	1399	1585	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	1585	1686	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	1686	1801	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	1801	1902	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	1902	2011	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	2011	2237	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	2237	2379	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	2379	2480	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	2480	2568	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	2568	2669	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	2669	2790	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	2790	2891	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	2891	3039	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	3039	3140	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	3140	3278	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	3278	3379	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	3379	3472	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	3472	3573	+	ENST00000378295.9	intron	ENSG00000078900.15
chr1	3573	7027	+	ENST00000378295.9	exon	ENSG00000078900.15
chr1	2	127	+	ONT1.153.501	exon	TP73
chr1	127	228	+	ONT1.153.501	intron	NA
chr1	228	325	+	ONT1.153.501	exon	TP73
chr1	325	426	+	ONT1.153.501	intron	TP73
chr1	426	546	+	ONT1.153.501	exon	TP73
chr1	546	1056	+	ONT1.153.501	intron	TP73
chr1	1056	1298	+	ONT1.153.501	exon	TP73
chr1	1298	1399	+	ONT1.153.501	intron	TP73
chr1	1399	1585	+	ONT1.153.501	exon	TP73
chr1	1585	1686	+	ONT1.153.501	intron	TP73
chr1	1686	1801	+	ONT1.153.501	exon	TP73
chr1	1801	1902	+	ONT1.153.501	intron	TP73
chr1	1902	2011	+	ONT1.153.501	exon	TP73
chr1	2011	2237	+	ONT1.153.501	intron	TP73
chr1	2237	2379	+	ONT1.153.501	exon	TP73
chr1	2379	2480	+	ONT1.153.501	intron	TP73
chr1	2480	2568	+	ONT1.153.501	exon	TP73
chr1	2568	2669	+	ONT1.153.501	intron	TP73
chr1	2669	2790	+	ONT1.153.501	exon	TP73
chr1	2790	2891	+	ONT1.153.501	intron	TP73
chr1	2891	3039	+	ONT1.153.501	exon	TP73
chr1	3039	3140	+	ONT1.153.501	intron	TP73
chr1	3140	3278	+	ONT1.153.501	exon	TP73
chr1	3278	3379	+	ONT1.153.501	intron	TP73
chr1	3379	3472	+	ONT1.153.501	exon	TP73
chr1	3472	3573	+	ONT1.153.501	intron	TP73
chr1	3573	4726	+	ONT1.153.501	exon	TP73
chr1	647	955	+	ONT1.153.569	exon	TP73
chr1	955	1056	+	ONT1.153.569	intron	TP73
chr1	1056	1298	+	ONT1.153.569	exon	TP73
chr1	1298	1399	+	ONT1.153.569	intron	TP73
chr1	1399	1585	+	ONT1.153.569	exon	TP73
chr1	1585	1686	+	ONT1.153.569	intron	TP73
chr1	1686	1801	+	ONT1.153.569	exon	TP73
chr1	1801	1902	+	ONT1.153.569	intron	TP73
chr1	1902	2011	+	ONT1.153.569	exon	TP73
chr1	2011	2237	+	ONT1.153.569	intron	TP73
chr1	2237	2379	+	ONT1.153.569	exon	TP73
chr1	2379	2480	+	ONT1.153.569	intron	TP73
chr1	2480	2568	+	ONT1.153.569	exon	TP73
chr1	2568	2669	+	ONT1.153.569	intron	TP73
chr1	2669	2790	+	ONT1.153.569	exon	TP73
chr1	2790	2891	+	ONT1.153.569	intron	TP73
chr1	2891	3039	+	ONT1.153.569	exon	TP73
chr1	3039	3140	+	ONT1.153.569	intron	TP73
chr1	3140	3278	+	ONT1.153.569	exon	TP73
chr1	3278	3379	+	ONT1.153.569	intron	TP73
chr1	3379	3472	+	ONT1.153.569	exon	TP73
chr1	3472	3573	+	ONT1.153.569	intron	TP73
chr1	3573	4711	+	ONT1.153.569	exon	TP73
chr1	683	955	+	ONT1.153.570	exon	TP73
chr1	955	1056	+	ONT1.153.570	intron	TP73
chr1	1056	1298	+	ONT1.153.570	exon	TP73
chr1	1298	1399	+	ONT1.153.570	intron	TP73
chr1	1399	1585	+	ONT1.153.570	exon	TP73
chr1	1585	1686	+	ONT1.153.570	intron	TP73
chr1	1686	1801	+	ONT1.153.570	exon	TP73
chr1	1801	1902	+	ONT1.153.570	intron	TP73
chr1	1902	2011	+	ONT1.153.570	exon	TP73
chr1	2011	2237	+	ONT1.153.570	intron	TP73
chr1	2237	2379	+	ONT1.153.570	exon	TP73
chr1	2379	2480	+	ONT1.153.570	intron	TP73
chr1	2480	2568	+	ONT1.153.570	exon	TP73
chr1	2568	2669	+	ONT1.153.570	intron	TP73
chr1	2669	2790	+	ONT1.153.570	exon	TP73
chr1	2790	3140	+	ONT1.153.570	intron	TP73
chr1	3140	3278	+	ONT1.153.570	exon	TP73
chr1	3278	3573	+	ONT1.153.570	intron	TP73
chr1	3573	7027	+	ONT1.153.570	exon	TP73
chr1	715	955	+	ONT1.153.571	exon	TP73
chr1	955	1056	+	ONT1.153.571	intron	TP73
chr1	1056	1298	+	ONT1.153.571	exon	TP73
chr1	1298	1399	+	ONT1.153.571	intron	TP73
chr1	1399	1585	+	ONT1.153.571	exon	TP73
chr1	1585	1686	+	ONT1.153.571	intron	TP73
chr1	1686	1801	+	ONT1.153.571	exon	TP73
chr1	1801	1902	+	ONT1.153.571	intron	TP73
chr1	1902	2011	+	ONT1.153.571	exon	TP73
chr1	2011	2237	+	ONT1.153.571	intron	TP73
chr1	2237	2379	+	ONT1.153.571	exon	TP73
chr1	2379	2480	+	ONT1.153.571	intron	TP73
chr1	2480	2568	+	ONT1.153.571	exon	TP73
chr1	2568	2669	+	ONT1.153.571	intron	TP73
chr1	2669	2790	+	ONT1.153.571	exon	TP73
chr1	2790	2891	+	ONT1.153.571	intron	TP73
chr1	2891	3039	+	ONT1.153.571	exon	TP73
chr1	3039	3140	+	ONT1.153.571	intron	TP73
chr1	3140	3278	+	ONT1.153.571	exon	TP73
chr1	3278	3379	+	ONT1.153.571	intron	TP73
chr1	3379	3472	+	ONT1.153.571	exon	TP73
chr1	3472	3573	+	ONT1.153.571	intron	TP73
chr1	3573	7027	+	ONT1.153.571	exon	TP73
chr1	700	955	+	ONT1.153.573	exon	TP73
chr1	955	1056	+	ONT1.153.573	intron	TP73
chr1	1056	1298	+	ONT1.153.573	exon	TP73
chr1	1298	1399	+	ONT1.153.573	intron	TP73
chr1	1399	1585	+	ONT1.153.573	exon	TP73
chr1	1585	1686	+	ONT1.153.573	intron	TP73
chr1	1686	1801	+	ONT1.153.573	exon	TP73
chr1	1801	1902	+	ONT1.153.573	intron	TP73
chr1	1902	2011	+	ONT1.153.573	exon	TP73
chr1	2011	2237	+	ONT1.153.573	intron	TP73
chr1	2237	2379	+	ONT1.153.573	exon	TP73
chr1	2379	2480	+	ONT1.153.573	intron	TP73
chr1	2480	2568	+	ONT1.153.573	exon	TP73
chr1	2568	2669	+	ONT1.153.573	intron	TP73
chr1	2669	2790	+	ONT1.153.573	exon	TP73
chr1	2790	2891	+	ONT1.153.573	intron	TP73
chr1	2891	3039	+	ONT1.153.573	exon	TP73
chr1	3039	3140	+	ONT1.153.573	intron	TP73
chr1	3140	3278	+	ONT1.153.573	exon	TP73
chr1	3278	3379	+	ONT1.153.573	intron	TP73
chr1	3379	3472	+	ONT1.153.573	exon	TP73
chr1	3472	3573	+	ONT1.153.573	intron	TP73
chr1	3573	4731	+	ONT1.153.573	exon	TP73
chr1	756	955	+	ONT1.153.581	exon	TP73
chr1	955	1056	+	ONT1.153.581	intron	TP73
chr1	1056	1298	+	ONT1.153.581	exon	TP73
chr1	1298	1399	+	ONT1.153.581	intron	TP73
chr1	1399	1585	+	ONT1.153.581	exon	TP73
chr1	1585	1686	+	ONT1.153.581	intron	TP73
chr1	1686	1801	+	ONT1.153.581	exon	TP73
chr1	1801	1902	+	ONT1.153.581	intron	TP73
chr1	1902	2011	+	ONT1.153.581	exon	TP73
chr1	2011	2237	+	ONT1.153.581	intron	TP73
chr1	2237	2379	+	ONT1.153.581	exon	TP73
chr1	2379	2480	+	ONT1.153.581	intron	TP73
chr1	2480	2568	+	ONT1.153.581	exon	TP73
chr1	2568	2669	+	ONT1.153.581	intron	TP73
chr1	2669	2790	+	ONT1.153.581	exon	TP73
chr1	2790	2891	+	ONT1.153.581	intron	TP73
chr1	2891	3039	+	ONT1.153.581	exon	TP73
chr1	3039	3140	+	ONT1.153.581	intron	TP73
chr1	3140	3278	+	ONT1.153.581	exon	TP73
chr1	3278	3379	+	ONT1.153.581	intron	TP73
chr1	3379	3472	+	ONT1.153.581	exon	TP73
chr1	3472	3573	+	ONT1.153.581	intron	TP73
chr1	3573	7027	+	ONT1.153.581	exon	TP73
chr1	2112	2379	+	ONT1.153.595	exon	TP73
chr1	2379	2480	+	ONT1.153.595	intron	NA
chr1	2480	2568	+	ONT1.153.595	exon	TP73
chr1	2568	2669	+	ONT1.153.595	intron	NA
chr1	2669	2790	+	ONT1.153.595	exon	TP73
chr1	2790	2891	+	ONT1.153.595	intron	TP73
chr1	2891	3039	+	ONT1.153.595	exon	TP73
chr1	3039	3140	+	ONT1.153.595	intron	TP73
chr1	3140	3278	+	ONT1.153.595	exon	TP73
chr1	3278	3573	+	ONT1.153.595	intron	TP73
chr1	3573	4731	+	ONT1.153.595	exon	TP73
